keyTime,datetime,dayTime,dayWeekTime,dayWeekAbbrevTime,dayWeekCompleteTime,monthTime,monthAbbrevTime,monthCompleteTime,bimonthTime,quarterTime,semesterTime,yearTime
1,01-07-1994,1,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
2,02-07-1994,2,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
3,03-07-1994,3,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
4,04-07-1994,4,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
5,05-07-1994,5,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
6,06-07-1994,6,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
7,07-07-1994,7,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
8,08-07-1994,8,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
9,09-07-1994,9,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
10,10-07-1994,10,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
11,11-07-1994,11,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
12,12-07-1994,12,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
13,13-07-1994,13,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
14,14-07-1994,14,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
15,15-07-1994,15,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
16,16-07-1994,16,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
17,17-07-1994,17,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
18,18-07-1994,18,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
19,19-07-1994,19,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
20,20-07-1994,20,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
21,21-07-1994,21,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
22,22-07-1994,22,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
23,23-07-1994,23,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
24,24-07-1994,24,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
25,25-07-1994,25,2,TER,TERCA,7,JUL,JULHO,4,3,2,1994
26,26-07-1994,26,3,QUA,QUARTA,7,JUL,JULHO,4,3,2,1994
27,27-07-1994,27,4,QUI,QUINTA,7,JUL,JULHO,4,3,2,1994
28,28-07-1994,28,5,SEX,SEXTA,7,JUL,JULHO,4,3,2,1994
29,29-07-1994,29,6,SAB,SABADO,7,JUL,JULHO,4,3,2,1994
30,30-07-1994,30,7,DOM,DOMINGO,7,JUL,JULHO,4,3,2,1994
31,31-07-1994,31,1,SEG,SEGUNDA,7,JUL,JULHO,4,3,2,1994
32,01-08-1994,1,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
33,02-08-1994,2,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
34,03-08-1994,3,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
35,04-08-1994,4,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
36,05-08-1994,5,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
37,06-08-1994,6,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
38,07-08-1994,7,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
39,08-08-1994,8,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
40,09-08-1994,9,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
41,10-08-1994,10,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
42,11-08-1994,11,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
43,12-08-1994,12,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
44,13-08-1994,13,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
45,14-08-1994,14,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
46,15-08-1994,15,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
47,16-08-1994,16,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
48,17-08-1994,17,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
49,18-08-1994,18,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
50,19-08-1994,19,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
51,20-08-1994,20,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
52,21-08-1994,21,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
53,22-08-1994,22,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
54,23-08-1994,23,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
55,24-08-1994,24,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
56,25-08-1994,25,5,SEX,SEXTA,8,AGO,AGOSTO,4,3,2,1994
57,26-08-1994,26,6,SAB,SABADO,8,AGO,AGOSTO,4,3,2,1994
58,27-08-1994,27,7,DOM,DOMINGO,8,AGO,AGOSTO,4,3,2,1994
59,28-08-1994,28,1,SEG,SEGUNDA,8,AGO,AGOSTO,4,3,2,1994
60,29-08-1994,29,2,TER,TERCA,8,AGO,AGOSTO,4,3,2,1994
61,30-08-1994,30,3,QUA,QUARTA,8,AGO,AGOSTO,4,3,2,1994
62,31-08-1994,31,4,QUI,QUINTA,8,AGO,AGOSTO,4,3,2,1994
63,01-09-1994,1,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
64,02-09-1994,2,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
65,03-09-1994,3,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
66,04-09-1994,4,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
67,05-09-1994,5,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
68,06-09-1994,6,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
69,07-09-1994,7,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
70,08-09-1994,8,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
71,09-09-1994,9,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
72,10-09-1994,10,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
73,11-09-1994,11,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
74,12-09-1994,12,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
75,13-09-1994,13,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
76,14-09-1994,14,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
77,15-09-1994,15,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
78,16-09-1994,16,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
79,17-09-1994,17,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
80,18-09-1994,18,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
81,19-09-1994,19,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
82,20-09-1994,20,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
83,21-09-1994,21,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
84,22-09-1994,22,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
85,23-09-1994,23,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
86,24-09-1994,24,7,DOM,DOMINGO,9,SET,SETEMBRO,5,3,2,1994
87,25-09-1994,25,1,SEG,SEGUNDA,9,SET,SETEMBRO,5,3,2,1994
88,26-09-1994,26,2,TER,TERCA,9,SET,SETEMBRO,5,3,2,1994
89,27-09-1994,27,3,QUA,QUARTA,9,SET,SETEMBRO,5,3,2,1994
90,28-09-1994,28,4,QUI,QUINTA,9,SET,SETEMBRO,5,3,2,1994
91,29-09-1994,29,5,SEX,SEXTA,9,SET,SETEMBRO,5,3,2,1994
92,30-09-1994,30,6,SAB,SABADO,9,SET,SETEMBRO,5,3,2,1994
93,01-10-1994,1,7,DOM,DOMINGO,10,OUT,OUTUBRO,5,4,2,1994
